NOTICIA DE REFERENCIA: 
	https://elpais.com/politica/2019/10/20/actualidad/1571575152_143333.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-10-18T19:17:25Z	https://elpais.com/politica/2019/10/18/actualidad/1571383904_816018.html
2019-10-18T06:52:10Z	https://elpais.com/tecnologia/2019/10/18/actualidad/1571350153_875274.html
2019-10-17T20:50:09Z	https://elpais.com/politica/2019/10/17/actualidad/1571330455_082061.html
2019-10-17T19:07:18Z	https://elpais.com/politica/2019/10/17/actualidad/1571305838_467418.html
2019-10-16T13:38:17Z	https://elpais.com/politica/2019/10/15/actualidad/1571167986_617326.html
2019-10-16T09:01:40Z	https://elpais.com/politica/2019/10/15/actualidad/1571162190_293164.html
2019-10-15T13:33:27Z	https://elpais.com/politica/2019/10/14/actualidad/1571044139_246355.html
2019-10-15T13:31:40Z	https://elpais.com/politica/2019/10/14/actualidad/1571035086_499740.html
2019-10-14T16:14:50Z	https://elpais.com/politica/2019/10/14/actualidad/1571035592_144762.html
2019-10-12T15:41:50Z	https://elpais.com/politica/2019/10/12/actualidad/1570872961_860310.html
2019-10-10T06:32:42Z	https://elpais.com/politica/2019/10/09/actualidad/1570633375_966787.html
2019-10-09T19:38:55Z	https://elpais.com/politica/2019/10/09/actualidad/1570630078_734971.html
2019-10-09T11:53:27Z	https://elpais.com/politica/2019/10/09/actualidad/1570603126_973956.html
2019-10-09T07:50:29Z	https://elpais.com/politica/2019/10/08/actualidad/1570548323_680846.html
2019-10-08T19:48:09Z	https://elpais.com/politica/2019/10/07/actualidad/1570473486_830058.html
2019-10-08T13:42:11Z	https://elpais.com/politica/2019/10/07/actualidad/1570471647_928058.html
2019-10-07T14:14:02Z	https://elpais.com/politica/2019/10/07/actualidad/1570429352_303738.html
2019-10-07T06:59:04Z	https://elpais.com/politica/2019/10/06/actualidad/1570360893_372899.html
2019-10-05T15:34:28Z	https://elpais.com/politica/2019/10/04/actualidad/1570217154_572999.html
2019-10-04T19:53:44Z	https://elpais.com/politica/2019/10/04/actualidad/1570213436_513464.html
2019-10-02T17:56:23Z	https://elpais.com/politica/2019/10/02/actualidad/1570033740_848051.html
2019-03-22T13:54:44Z	https://elpais.com/internacional/2019/03/21/actualidad/1553156753_130649.html
2019-03-19T07:24:09Z	https://elpais.com/internacional/2019/03/18/actualidad/1552925250_639691.html
2019-03-15T07:07:30Z	https://elpais.com/internacional/2019/03/14/actualidad/1552561404_705167.html
2019-03-14T08:15:28Z	https://elpais.com/internacional/2019/03/13/actualidad/1552499781_767615.html
2019-02-21T07:34:36Z	https://elpais.com/politica/2019/02/19/actualidad/1550585655_508262.html
2019-02-21T07:34:08Z	https://elpais.com/politica/2019/02/20/actualidad/1550695156_028877.html
2019-02-20T18:48:53Z	https://elpais.com/politica/2019/02/19/actualidad/1550616373_013175.html
2019-02-19T21:42:42Z	https://elpais.com/politica/2019/02/19/actualidad/1550571068_147780.html
2019-02-19T15:31:25Z	https://elpais.com/politica/2019/02/19/actualidad/1550576628_518360.html
2019-02-18T09:16:54Z	https://elpais.com/ccaa/2019/02/17/catalunya/1550430376_996364.html
