NOTICIA DE REFERENCIA: https://www.elmundo.es/deportes/baloncesto/nba/2020/02/07/5e3dd42c21efa035088b459f.html
Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia
2020-02-07T19:40:48Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/02/07/5e3dbc97fc6c836e0d8b4631.html
2020-02-06T16:39:43Z	https://www.elmundo.es/salud/2020/02/06/5e3c4103fc6c8393788b45ac.html
2020-02-06T05:09:36Z	https://www.elmundo.es/internacional/2020/02/06/5e3b9f5721efa0c21d8b47c3.html
2020-02-05T12:54:54Z	https://www.elmundo.es/salud/2020/02/05/5e3abb0221efa08f2a8b45a4.html
2020-02-04T16:26:37Z	https://www.elmundo.es/deportes/futbol/eurocopa/2020/02/04/5e399af6fc6c8341678b466c.html
2020-02-04T13:40:19Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/02/04/5e397391fc6c83865c8b45a2.html
2020-02-04T09:52:11Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/02/04/5e393e9cfc6c834d418b47c8.html
2020-02-03T11:14:34Z	https://www.elmundo.es/internacional/2020/02/03/5e380088fc6c83f4518b45b6.html
2020-02-02T20:45:39Z	https://www.elmundo.es/deportes/mas-deporte/2020/02/02/5e3734dffc6c8357498b45ae.html
2020-02-02T09:56:12Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/02/02/5e369c8d21efa01c0a8b4660.html
2020-02-02T00:55:46Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/02/02/5e35be7321efa074758b45ec.html
2020-02-01T08:58:24Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/02/01/5e353da021efa0f7248b45f5.html
2020-01-31T18:51:32Z	https://www.elmundo.es/internacional/2020/01/31/5e347403fdddff8b5b8b4639.html
2020-01-31T17:46:39Z	https://www.elmundo.es/internacional/2020/01/31/5e346611fc6c83c0198b4577.html
2020-01-31T13:57:42Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/31/5e343248fc6c8342178b45dd.html
2020-01-31T12:32:12Z	https://www.elmundo.es/internacional/2020/01/31/5e341bf9fdddff831f8b4674.html
2020-01-31T11:39:07Z	https://www.elmundo.es/internacional/2020/01/31/5e3411cafdddff32148b4611.html
2020-01-31T09:15:02Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/31/5e33f004fc6c8336478b45a1.html
2020-01-31T08:36:12Z	https://www.elmundo.es/deportes/baloncesto/2020/01/31/5e33e4c9fdddff1a3a8b45a3.html
2020-01-31T07:57:10Z	https://www.elmundo.es/cultura/literatura/2020/01/31/5e3054b8fc6c8330438b456f.html
2020-01-31T05:50:51Z	https://www.elmundo.es/internacional/2020/01/31/5e33c01e21efa0ab068b469f.html
2020-01-31T01:05:07Z	https://www.elmundo.es/opinion/editorial/2020/01/31/5e331537fdddff2a348b457b.html
2020-01-31T01:02:40Z	https://www.elmundo.es/internacional/2020/01/31/5e333a5efdddff4c268b45b7.html
2020-01-31T00:59:10Z	https://www.elmundo.es/internacional/2020/01/31/5e32fea5fdddfff2378b458d.html
2020-01-30T22:01:09Z	https://www.elmundo.es/deportes/baloncesto/nba/2020/01/30/5e335216fdddff641f8b459e.html
2020-01-30T21:14:26Z	https://www.elmundo.es/deportes/mas-deporte/2020/01/30/5e32fa6efdddff9b138b457e.html
2020-01-30T20:43:33Z	https://www.elmundo.es/internacional/2020/01/30/5e330d2221efa08e128b4639.html
2020-01-30T06:57:18Z	https://www.elmundo.es/deportes/baloncesto/2020/01/30/5e327dbcfdddff168c8b45f4.html
2020-01-30T01:02:41Z	https://www.elmundo.es/cultura/literatura/2020/01/30/5e31c1bb21efa0ec498b45e2.html
2020-01-29T20:46:05Z	https://www.elmundo.es/deportes/mas-deporte/2020/01/29/5e31eeb3fc6c831e1f8b462f.html
2020-01-29T18:18:12Z	https://www.elmundo.es/ciencia-y-salud/salud/2020/01/29/5e31cb4521efa0962d8b45dd.html
2020-01-29T15:11:34Z	https://www.elmundo.es/deportes/futbol/2020/01/29/5e31a09521efa0983a8b45b1.html
