NOTICIA DE REFERENCIA: https://www.20minutos.es/noticia/4180255/0/la-revuelta-feminista-toma-espana-pero-con-menor-asistencia-que-en-los-dos-ultimos-anos/
Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia
2020-03-08T20:33:25Z	https://www.20minutos.es/noticia/4180242/0/francia-une-alemania-tambien-prohibe-reuniones-personas-frenar-coronavirus/
2020-03-08T18:53:30Z	https://www.20minutos.es/noticia/4180198/0/los-casos-de-coronavirus-en-italia-se-disparan-1-492-nuevos-casos-y-133-muertes-en-24-horas/
2020-03-08T18:52:32Z	https://www.20minutos.es/noticia/4180199/0/italia-empieza-implementar-medidas-sin-precedentes-frenar-coronavirus/
2020-03-08T18:26:17Z	https://www.20minutos.es/videos/nacional/4180181-ciudadanos-abandona-marcha-8m-empujones-tension/
2020-03-08T18:13:11Z	https://www.20minutos.es/noticia/4180163/0/ciudadanos-obligado-irse-marcha-8m-increpados-empujones-tension/
2020-03-08T17:01:00Z	https://www.20minutos.es/noticia/4180129/0/asi-viven-manifestaciones-8-marzo-espana/
2020-03-08T16:39:38Z	https://www.20minutos.es/noticia/4180109/0/consejo-ministros-valorara-medidas-extraordinarias-transporte-coronavirus/
2020-03-08T16:27:24Z	https://www.20minutos.es/noticia/4180070/0/ministro-aleman-recomienda-cancelar-actos-1000-personas/
2020-03-08T15:51:27Z	https://www.20minutos.es/noticia/4180084/0/responsable-medico-italia-gente-no-comprende-quedarse-casa-situacion-catastrofica/
2020-03-08T14:05:56Z	https://www.20minutos.es/noticia/4180004/0/top-15-directivas-decisivas-espana/
2020-03-08T13:03:52Z	https://www.20minutos.es/noticia/4179965/0/reino-unido-muertes-contempladas-coronavirus/
2020-03-08T12:05:16Z	https://www.20minutos.es/noticia/4179924/0/sanidad-pide-personas-sintomas-no-acudan-manifestaciones-8m/
2020-03-08T11:55:51Z	https://www.20minutos.es/noticia/4179880/0/simon-actos-8m-evitar-evento-masas-sin-cerrar-metros-poco-sentido/
2020-03-08T11:16:33Z	https://www.20minutos.es/noticia/4179867/0/dia-internacional-mujer-medidas-prevencion-manifestaciones-8-marzo-coronavirus/
2020-03-08T10:48:25Z	https://www.20minutos.es/noticia/4179839/0/dia-internacional-mujer-2020-significa-feminismo-feminista/
2020-03-08T10:09:00Z	https://www.20minutos.es/noticia/4178413/0/dia-internacional-mujer-color-morado-lucha-feminista/
2020-03-08T08:10:31Z	https://www.20minutos.es/noticia/4171345/0/feminismo-huelga-feminista-8-marzo-manifestaciones-directo/
2020-03-08T08:02:42Z	https://www.20minutos.es/noticia/4173824/0/feminismo-dia-internacional-mujer-8m/
2020-03-08T08:01:02Z	https://www.20minutos.es/noticia/4174712/0/feminismo-nomo-generacion-mujeres/
2020-03-07T22:41:01Z	https://www.20minutos.es/noticia/4179635/0/sanidad-manifestaciones-8m-coronavirus-espana-muertos-contagios/
2020-03-07T22:16:46Z	https://www.20minutos.es/noticia/4179642/0/portugal-coronavirus-suspende-visitas-hospitales-residencias-carceles-zona-norte/
2020-03-07T20:06:37Z	https://www.20minutos.es/noticia/4179609/0/italia-toma-medidas-extremas-coronavirus-prohibido-entrar-salir-provincias-norte-abril/
2020-03-07T17:55:15Z	https://www.20minutos.es/noticia/4177707/0/denunciar-violencia-genero-telefonos-servicios-disposicion-mujeres/
2020-03-07T17:28:25Z	https://www.20minutos.es/noticia/4178798/0/empresas-ganando-coronavirus-covid-19/
2020-03-07T17:10:00Z	https://www.20minutos.es/noticia/4173655/0/origen-manifestaciones-8m-paro-internacional-mujeres/
2020-03-07T15:46:32Z	https://www.20minutos.es/noticia/4179467/0/argentina-vacaciones-pagadas-persona-procedente-zonas-coronavirus/
2020-03-07T11:01:34Z	https://www.20minutos.es/noticia/4179217/0/sanidad-luz-verde-manifestacion-8m-miedo-coronavirus-convocatoria-nacionales/
2020-03-07T08:23:24Z	https://www.20minutos.es/noticia/4175293/0/feminismo-madrid-horario-recorrido-manifestacion-8m/
2020-03-07T08:21:43Z	https://www.20minutos.es/noticia/4172105/0/feminismo-gisella-perl-auschwitz-embarazos/
2020-03-07T07:28:42Z	https://www.20minutos.es/noticia/4178151/0/gobierno-retrasa-medidas-afrontar-efectos-coronavirus/
2020-03-06T21:58:13Z	https://www.20minutos.es/noticia/4178960/0/coronavirus-muertos-contagiados-espana-viernes/
