NOTICIA DE REFERENCIA: 
	https://elpais.com/sociedad/2019/12/02/actualidad/1575268228_449028.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia

2019-12-02T16:41:23Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575216281_908130.html
2019-12-02T10:26:26Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575226197_240379.html
2019-12-02T08:16:27Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575197772_341810.html
2019-12-02T07:57:56Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575139278_315997.html
2019-11-30T13:51:16Z	https://elpais.com/elpais/2019/11/30/album/1575114080_862435.html
2019-11-26T20:00:49Z	https://elpais.com/sociedad/2019/11/26/actualidad/1574791719_143580.html
2019-10-25T15:24:53Z	https://elpais.com/politica/2019/10/24/actualidad/1571919937_983053.html
2019-10-25T13:09:42Z	https://elpais.com/cultura/2019/10/25/television/1572002898_051991.html
2019-10-19T16:44:03Z	https://elpais.com/ccaa/2019/10/19/catalunya/1571486439_065194.html
2019-10-19T16:12:18Z	https://elpais.com/ccaa/2019/10/19/catalunya/1571490386_849468.html
2019-10-19T07:57:25Z	https://elpais.com/politica/2019/10/17/actualidad/1571332631_052320.html
2019-10-18T17:16:08Z	https://elpais.com/deportes/2019/10/18/actualidad/1571382769_796183.html
2019-10-15T20:04:46Z	https://elpais.com/ccaa/2019/10/15/catalunya/1571126070_689008.html
2019-10-14T10:49:27Z	https://elpais.com/politica/2019/10/14/actualidad/1571046136_266878.html
2019-10-13T07:29:52Z	https://elpais.com/politica/2019/10/12/actualidad/1570876393_131193.html
2019-10-12T20:16:05Z	https://elpais.com/politica/2019/10/11/actualidad/1570790835_269184.html
2019-10-12T16:49:26Z	https://elpais.com/politica/2019/10/11/actualidad/1570782565_111103.html
2019-10-04T22:14:46Z	https://elpais.com/politica/2019/10/04/actualidad/1570209637_330181.html
2019-03-23T20:20:00Z	https://elpais.com/internacional/2019/03/21/actualidad/1553204042_973277.html
2019-02-13T17:37:29Z	https://elpais.com/politica/2019/02/13/actualidad/1550073823_447267.html
2019-02-13T16:05:30Z	https://elpais.com/elpais/2019/02/13/opinion/1550061217_664610.html
2019-02-13T08:41:40Z	https://elpais.com/politica/2019/02/12/actualidad/1549996308_632843.html
2019-02-11T17:12:50Z	https://elpais.com/politica/2019/02/09/actualidad/1549740306_750094.html

#########################################################

Algoritmo: SIMILITUD_COSENO_SPACY	 Atributos: titularNoticia + keywordsNoticia

2019-12-02T16:41:23Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575216281_908130.html
2019-12-02T16:14:27Z	https://elpais.com/sociedad/2019/12/02/actualidad/1575284241_519772.html
2019-12-02T10:26:26Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575226197_240379.html
2019-12-02T08:16:27Z	https://elpais.com/sociedad/2019/12/01/actualidad/1575197772_341810.html
2019-12-02T07:57:56Z	https://elpais.com/sociedad/2019/11/30/actualidad/1575139278_315997.html
2019-12-01T23:00:00Z	https://elpais.com/elpais/2019/12/01/opinion/1575217702_776463.html
